File Name,File ID,View URL,AuthorName,Year,Title,AuthorName_Clean,Year_Clean,Title_Clean
Barchi - 2018 - Priority Setting in Public Health A lesson in eth.pdf,1ohIBIHz9RET3G8Sh0rHBP_KJR3sO-625,https://drive.google.com/file/d/1ohIBIHz9RET3G8Sh0rHBP_KJR3sO-625/view,Barchi,2018,Priority Setting in Public Health A lesson in eth,barchi,2018,priority setting in public health a lesson in eth
"Bargar - 2014 - Order Up! Ecological Succession at Table Rock State Park in Pickens, South Carolina.pdf",19mKcXGffqxLMcBDvG3mVRiRziB7W6r7U,https://drive.google.com/file/d/19mKcXGffqxLMcBDvG3mVRiRziB7W6r7U/view,Bargar,2014,"Order Up! Ecological Succession at Table Rock State Park in Pickens, South Carolina",bargar,2014,"order up! ecological succession at table rock state park in pickens, south carolina"
"Barker et al. - 2019 - Teaching Students to Read, Interpret, and Write ab.pdf",1XyZOrUzXN6k8O_lX0phFaWlyrIQI3Knx,https://drive.google.com/file/d/1XyZOrUzXN6k8O_lX0phFaWlyrIQI3Knx/view,Barker et al.,2019,"Teaching Students to Read, Interpret, and Write ab",barker et al.,2019,"teaching students to read, interpret, and write ab"
Barko et al. - 2004 - seedling growth of wisconsin fast plants (brassica rapa) in field environments.pdf,1tcsSoL4DvVR9cb9GmOQ_3ivpjb0xUBHu,https://drive.google.com/file/d/1tcsSoL4DvVR9cb9GmOQ_3ivpjb0xUBHu/view,Barko et al.,2004,seedling growth of wisconsin fast plants (brassica rapa) in field environments,barko et al.,2004,seedling growth of wisconsin fast plants (brassica rapa) in field environments
Baumler et al. - 2012 - Using Comparative Genomics for Inquiry-Based Learn.pdf,1GCtJXKx26tbT8ap1ouFgk59nmFcM5Umd,https://drive.google.com/file/d/1GCtJXKx26tbT8ap1ouFgk59nmFcM5Umd/view,Baumler et al.,2012,Using Comparative Genomics for Inquiry-Based Learn,baumler et al.,2012,using comparative genomics for inquiry-based learn
"Beach and Alvarez - 2015 - Biotechnology by Design An Introductory Level, Pr.pdf",1mXiZEah0V5AVothhywRevhY_m0WkUb2P,https://drive.google.com/file/d/1mXiZEah0V5AVothhywRevhY_m0WkUb2P/view,Beach and Alvarez,2015,"Biotechnology by Design An Introductory Level, Pr",beach and alvarez,2015,"biotechnology by design an introductory level, pr"
Beachly - 2008 - Exploring Pattern Analysis with Sycamore Aphids.pdf,1t-rKu4Tw5bg2MubdcTrqgQVY55MRQTM4,https://drive.google.com/file/d/1t-rKu4Tw5bg2MubdcTrqgQVY55MRQTM4/view,Beachly,2008,Exploring Pattern Analysis with Sycamore Aphids,beachly,2008,exploring pattern analysis with sycamore aphids
Beatty - 2021 - Preparing Student Study Guides through Peer Collab.pdf,1qLUMtdBkfSkO7gd8nwaLpnsqVhWfN9kC,https://drive.google.com/file/d/1qLUMtdBkfSkO7gd8nwaLpnsqVhWfN9kC/view,Beatty,2021,Preparing Student Study Guides through Peer Collab,beatty,2021,preparing student study guides through peer collab
Beck - 2004 - Exploring the Lotka-Volterra Competition Model using Two Species of Parasitoid Wasps.pdf,1A5PAEDPJHqbm3Y0HAPU5uzIAvBTCpquy,https://drive.google.com/file/d/1A5PAEDPJHqbm3Y0HAPU5uzIAvBTCpquy/view,Beck,2004,Exploring the Lotka-Volterra Competition Model using Two Species of Parasitoid Wasps,beck,2004,exploring the lotka-volterra competition model using two species of parasitoid wasps
Beck - 2009 - Rapid Adaptation of Bean Beetles to a Novel Host.pdf,1qWRX9DROPom3NGq7lJwm9iQi8U88AsdM,https://drive.google.com/file/d/1qWRX9DROPom3NGq7lJwm9iQi8U88AsdM/view,Beck,2009,Rapid Adaptation of Bean Beetles to a Novel Host,beck,2009,rapid adaptation of bean beetles to a novel host
Beck and Blumer - 2016 - Egg size plasticity in bean beetles (Callosobruchu.pdf,1po2Zxf7mhZTo6t7k6wvFL-5CBHgTj0h0,https://drive.google.com/file/d/1po2Zxf7mhZTo6t7k6wvFL-5CBHgTj0h0/view,Beck and Blumer,2016,Egg size plasticity in bean beetles (Callosobruchu,beck and blumer,2016,egg size plasticity in bean beetles (callosobruchu
Beckerson - 2022 - Small Organisms with Big Consequences Understandi.pdf,1gyrg8n43JM-GHIIMTSAwz242mgXOisC_,https://drive.google.com/file/d/1gyrg8n43JM-GHIIMTSAwz242mgXOisC_/view,Beckerson,2022,Small Organisms with Big Consequences Understandi,beckerson,2022,small organisms with big consequences understandi
Becklin - 2008 - A Coevolutionary Arms Race: Understanding Plant Herbivore Interactions.pdf,1Dx6B1PqwnAGKdYEQ9JT7jh2VBSVSc2We,https://drive.google.com/file/d/1Dx6B1PqwnAGKdYEQ9JT7jh2VBSVSc2We/view,Becklin,2008,A Coevolutionary Arms Race: Understanding Plant Herbivore Interactions,becklin,2008,a coevolutionary arms race: understanding plant herbivore interactions
Beckstead et al. - 2011 - Exploring the population dynamics of wintering bal.pdf.pdf,18LllEjivil2yhaazgLsPsHu9zIJ_G3jH,https://drive.google.com/file/d/18LllEjivil2yhaazgLsPsHu9zIJ_G3jH/view,Beckstead et al.,2011,Exploring the population dynamics of wintering bal,beckstead et al.,2011,exploring the population dynamics of wintering bal
Bell et al. - 2016 - Antibiotic Resistance Genes Detection in Environme.pdf,1X023KqhBuwNcTYxSxcajo9deYaDM_3Zl,https://drive.google.com/file/d/1X023KqhBuwNcTYxSxcajo9deYaDM_3Zl/view,Bell et al.,2016,Antibiotic Resistance Genes Detection in Environme,bell et al.,2016,antibiotic resistance genes detection in environme
Bentley and Connaughton - 2017 - A simple way for students to visualize cellular re.pdf,1ox7ipOVfyco3vaCACdZvOnztqEIaq8pM,https://drive.google.com/file/d/1ox7ipOVfyco3vaCACdZvOnztqEIaq8pM/view,Bentley and Connaughton,2017,A simple way for students to visualize cellular re,bentley and connaughton,2017,a simple way for students to visualize cellular re
Berdanier - 2013 - Leaves as Thermometers.pdf,1YFPrxNMvQb6xa3W6NflNeBzF1znxW5f_,https://drive.google.com/file/d/1YFPrxNMvQb6xa3W6NflNeBzF1znxW5f_/view,Berdanier,2013,Leaves as Thermometers,berdanier,2013,leaves as thermometers
Bergan-Roller et al. - 2017 - Discovering Cellular Respiration with Computationa.pdf,1e86IZIeTzpgH4Tlst9jfmdY1a8bVHFNX,https://drive.google.com/file/d/1e86IZIeTzpgH4Tlst9jfmdY1a8bVHFNX/view,Bergan-Roller et al.,2017,Discovering Cellular Respiration with Computationa,bergan-roller et al.,2017,discovering cellular respiration with computationa
Bevier - 2016 - Simulation Games for Animal Behavior Exploring Tradeoffs of Foraging and Vigilance.pdf,1wkuwhfbBLRu8O717cLL3ml0WtC8JfpSc,https://drive.google.com/file/d/1wkuwhfbBLRu8O717cLL3ml0WtC8JfpSc/view,Bevier,2016,Simulation Games for Animal Behavior Exploring Tradeoffs of Foraging and Vigilance,bevier,2016,simulation games for animal behavior exploring tradeoffs of foraging and vigilance
Bhaskar et al. - 2018 - Investigating Sexually Transmitted Disease (STD) E.pdf,1XGiBScvUDvrwagmac4yGrNHfKqZF78PY,https://drive.google.com/file/d/1XGiBScvUDvrwagmac4yGrNHfKqZF78PY/view,Bhaskar et al.,2018,Investigating Sexually Transmitted Disease (STD) E,bhaskar et al.,2018,investigating sexually transmitted disease (std) e
Bhatt and Challa - 2018 - First Year Course-Based Undergraduate Research Exp.pdf,1jRBx5GcZCyMCT13tppZiMqVlJSU9nLpa,https://drive.google.com/file/d/1jRBx5GcZCyMCT13tppZiMqVlJSU9nLpa/view,Bhatt and Challa,2018,First Year Course-Based Undergraduate Research Exp,bhatt and challa,2018,first year course-based undergraduate research exp
Bidlack - 2010 - Dark Reactions of Photosynthesis.pdf,1BkCxwoyA_iUaS8av54jaBGqBmWbd21ZG,https://drive.google.com/file/d/1BkCxwoyA_iUaS8av54jaBGqBmWbd21ZG/view,Bidlack,2010,Dark Reactions of Photosynthesis,bidlack,2010,dark reactions of photosynthesis
Bidlack - 2010 - Digestive System.pdf,1Ic4FNGtziX6n4gmR1ypJHRsSYo2fXvp_,https://drive.google.com/file/d/1Ic4FNGtziX6n4gmR1ypJHRsSYo2fXvp_/view,Bidlack,2010,Digestive System,bidlack,2010,digestive system
Bidlack - 2010 - Plant Anatomy.pdf,1WPZqPFVvR7K_8_zQJ05iLjU5xfXTnQfA,https://drive.google.com/file/d/1WPZqPFVvR7K_8_zQJ05iLjU5xfXTnQfA/view,Bidlack,2010,Plant Anatomy,bidlack,2010,plant anatomy
Bidlack - 2010 - Plant Growth Regulation.pdf,1p9jD7wWTievJJ_6wdlAU3u72sKgSFSmJ,https://drive.google.com/file/d/1p9jD7wWTievJJ_6wdlAU3u72sKgSFSmJ/view,Bidlack,2010,Plant Growth Regulation,bidlack,2010,plant growth regulation
Bidlack - 2010 - Plant Water Relations.pdf,1yGWBXNKx3p6CM3mBuMlgYO2656WD4wgb,https://drive.google.com/file/d/1yGWBXNKx3p6CM3mBuMlgYO2656WD4wgb/view,Bidlack,2010,Plant Water Relations,bidlack,2010,plant water relations
Bidlack - 2010 - Respiratory System.pdf,1Br9zhnZT13h0u1X6PqLaiSsO6nfYx7tA,https://drive.google.com/file/d/1Br9zhnZT13h0u1X6PqLaiSsO6nfYx7tA/view,Bidlack,2010,Respiratory System,bidlack,2010,respiratory system
Bierema and Rudge - 2014 - Using David Lack's Observations of Finch Beak Size.pdf,1iyAFqkVe2dCKEFd9bxDt43h6YVPn2kI_,https://drive.google.com/file/d/1iyAFqkVe2dCKEFd9bxDt43h6YVPn2kI_/view,Bierema and Rudge,2014,Using David Lack's Observations of Finch Beak Size,bierema and rudge,2014,using david lack's observations of finch beak size
Bindelli et al. - 2021 - Effective Use of Student-Created Case Studies as A.pdf,17Sgv2che2zGi5GJST2Oy8hQS9-zvJnYv,https://drive.google.com/file/d/17Sgv2che2zGi5GJST2Oy8hQS9-zvJnYv/view,Bindelli et al.,2021,Effective Use of Student-Created Case Studies as A,bindelli et al.,2021,effective use of student-created case studies as a
Blackwood - 2006 - Using Student Generated Qualitative Ecological Models.pdf,1Ou6bhMVwX6mOs7bbygsxVqN13eY3b-j4,https://drive.google.com/file/d/1Ou6bhMVwX6mOs7bbygsxVqN13eY3b-j4/view,Blackwood,2006,Using Student Generated Qualitative Ecological Models,blackwood,2006,using student generated qualitative ecological models
Blum - 2012 - Malaria & Global Warming.pdf,1LaOGky_rf6TOuaEUXo7U97uR975-Io5T,https://drive.google.com/file/d/1LaOGky_rf6TOuaEUXo7U97uR975-Io5T/view,Blum,2012,Malaria & Global Warming,blum,2012,malaria & global warming
Bohanan - 2005 - changes in lake ice ecosystem response to global change,1BGdH3fHwSCCWAZpWrwR6JLvZRFDYj2qe,https://drive.google.com/file/d/1BGdH3fHwSCCWAZpWrwR6JLvZRFDYj2qe/view,Bohanan,2005,changes in lake ice ecosystem response to global change,bohanan,2005,changes in lake ice ecosystem response to global change
Bonner - 2018 - The nose knows: How tri-trophic interactions and natural history shape bird foraging behavior.pdf,1HOqROZr4r4x7Zdo01JEaZFyF6O-aAl_5,https://drive.google.com/file/d/1HOqROZr4r4x7Zdo01JEaZFyF6O-aAl_5/view,Bonner,2018,The nose knows: How tri-trophic interactions and natural history shape bird foraging behavior,bonner,2018,the nose knows: how tri-trophic interactions and natural history shape bird foraging behavior
Bonney - 2014 - Case Study From Gummy Bears to Celery Stalks--Dif.pdf,1j3T6V4a3Q6Hm9Dqz0Rt8etWhTwqCC1IF,https://drive.google.com/file/d/1j3T6V4a3Q6Hm9Dqz0Rt8etWhTwqCC1IF/view,Bonney,2014,Case Study From Gummy Bears to Celery Stalks--Dif,bonney,2014,case study from gummy bears to celery stalks--dif
Bonney - 2018 - Fake News with Real Consequences The Effect of Cu.pdf,1DW1POPxy68NArN7TExknrRR5qXVpTvtp,https://drive.google.com/file/d/1DW1POPxy68NArN7TExknrRR5qXVpTvtp/view,Bonney,2018,Fake News with Real Consequences The Effect of Cu,bonney,2018,fake news with real consequences the effect of cu
Bonney and Nicholas - 2017 - The Mysterious Murder of Christa Worthington.pdf,1dzY_oECCp_Z6oiyBETlmuKKMz0r9FArE,https://drive.google.com/file/d/1dzY_oECCp_Z6oiyBETlmuKKMz0r9FArE/view,Bonney and Nicholas,2017,The Mysterious Murder of Christa Worthington,bonney and nicholas,2017,the mysterious murder of christa worthington
Boomer et al. - 2021 - A CURE for Meat Comparing Bacterial Contaminants .pdf,1wso_2mPtYhm_S6JCZSHD4WEN9MdD3Pxj,https://drive.google.com/file/d/1wso_2mPtYhm_S6JCZSHD4WEN9MdD3Pxj/view,Boomer et al.,2021,A CURE for Meat Comparing Bacterial Contaminants,boomer et al.,2021,a cure for meat comparing bacterial contaminants
Borrero - 2019 - Genome to phenome DNA-protein interactions involved in butterfly wing colored development.pdf,1J92ok_CQR9uXeCc-2xctrFmsp2WuCCzJ,https://drive.google.com/file/d/1J92ok_CQR9uXeCc-2xctrFmsp2WuCCzJ/view,Borrero,2019,Genome to phenome DNA-protein interactions involved in butterfly wing colored development,borrero,2019,genome to phenome dna-protein interactions involved in butterfly wing colored development
Bouwma-Gearhart et al. - 2019 - Modeling Tropical Diversity in the Undergraduate C.pdf,1p01tIgiM5KFhdzOsQv1HJyGtT21hibMl,https://drive.google.com/file/d/1p01tIgiM5KFhdzOsQv1HJyGtT21hibMl/view,Bouwma-Gearhart et al.,2019,Modeling Tropical Diversity in the Undergraduate C,bouwma-gearhart et al.,2019,modeling tropical diversity in the undergraduate c
Bowne - 2013 - Talking Turkey: Using a short story to facilitate learning and appreciation of energy flows through ecosystems.pdf,18ZIPySjnzHYot-f1sabf2kGeBVtugwUO,https://drive.google.com/file/d/18ZIPySjnzHYot-f1sabf2kGeBVtugwUO/view,Bowne,2013,Talking Turkey: Using a short story to facilitate learning and appreciation of energy flows through ecosystems,bowne,2013,talking turkey: using a short story to facilitate learning and appreciation of energy flows through ecosystems
Bowne - 2020 - A Natural Process Fostering Critical Thinking Through an Ecological Allegory.pdf,1IhoTIgpKIOLEgHSNlDhDV98-mo266Ffp,https://drive.google.com/file/d/1IhoTIgpKIOLEgHSNlDhDV98-mo266Ffp/view,Bowne,2020,A Natural Process Fostering Critical Thinking Through an Ecological Allegory,bowne,2020,a natural process fostering critical thinking through an ecological allegory
Boyce - 2005 - Life Under Your Feet Measuring Soil Invertebrate Diversity.pdf,1o50GWroUfg_BNC1RvNyBs-brjZf8sqIw,https://drive.google.com/file/d/1o50GWroUfg_BNC1RvNyBs-brjZf8sqIw/view,Boyce,2005,Life Under Your Feet Measuring Soil Invertebrate Diversity,boyce,2005,life under your feet measuring soil invertebrate diversity
Brady and Andersen - 2021 - An escape-room inspired game for genetics review.pdf,13iabfGkusxZawkmF1DCc4AXuf9PZVBO4,https://drive.google.com/file/d/13iabfGkusxZawkmF1DCc4AXuf9PZVBO4/view,Brady and Andersen,2021,An escape-room inspired game for genetics review,brady and andersen,2021,an escape-room inspired game for genetics review
Bratton - 2016 - Using MATLAB to understand distributions Pokemon GO.pdf,1KuSy_qcDhq1UnSvVO4lqZ9RNyV3ba-Zo,https://drive.google.com/file/d/1KuSy_qcDhq1UnSvVO4lqZ9RNyV3ba-Zo/view,Bratton,2016,Using MATLAB to understand distributions Pokemon GO,bratton,2016,using matlab to understand distributions pokemon go
Brickman et al. - 2012 - Media-savvy scientific literacy Developing critic.pdf,1unxL7NQmq7RLm-FqfkguIUIoq-s4QbOD,https://drive.google.com/file/d/1unxL7NQmq7RLm-FqfkguIUIoq-s4QbOD/view,Brickman et al.,2012,Media-savvy scientific literacy Developing critic,brickman et al.,2012,media-savvy scientific literacy developing critic
Brodkin - 2021 - From Dirt to Streptomyces DNA.pdf,155tGuDnqJLw34CmzUdGMvzJ-x6VZIBM4,https://drive.google.com/file/d/155tGuDnqJLw34CmzUdGMvzJ-x6VZIBM4/view,Brodkin,2021,From Dirt to Streptomyces DNA,brodkin,2021,from dirt to streptomyces dna
Brooks - 2019 - Visits to the writing center and office hours prov.pdf,1qmFatxrGj2OBh98IUkhxg8Bqfr0VrWjw,https://drive.google.com/file/d/1qmFatxrGj2OBh98IUkhxg8Bqfr0VrWjw/view,Brooks,2019,Visits to the writing center and office hours prov,brooks,2019,visits to the writing center and office hours prov
Bucklin and Mauger - 2022 - CUREs How to Create & Incorporate a Collaborative.pdf,1mR0vmD7zCfOC_wlc6cCO4rRlX1zxPmhC,https://drive.google.com/file/d/1mR0vmD7zCfOC_wlc6cCO4rRlX1zxPmhC/view,Bucklin and Mauger,2022,CUREs How to Create & Incorporate a Collaborative,bucklin and mauger,2022,cures how to create & incorporate a collaborative
Buford - 2025 - A Laboratory Exercise Demonstrating the Limited Ci.pdf,1tKj_yjlnmV6YHJB8Sil8oTf_xIJ8X3Cm,https://drive.google.com/file/d/1tKj_yjlnmV6YHJB8Sil8oTf_xIJ8X3Cm/view,Buford,2025,A Laboratory Exercise Demonstrating the Limited Ci,buford,2025,a laboratory exercise demonstrating the limited ci
Buonaccorsi et al. - 2017 - An Introduction to Eukaryotic Genome Analysis in N.pdf,17duF1HN3MYYjhZpfoHG1p1LBgonln7Pq,https://drive.google.com/file/d/17duF1HN3MYYjhZpfoHG1p1LBgonln7Pq/view,Buonaccorsi et al.,2017,An Introduction to Eukaryotic Genome Analysis in N,buonaccorsi et al.,2017,an introduction to eukaryotic genome analysis in n
Burdo - 2012 - Wikipedia Neuroscience Stub Editing in an Introductory Undergraduate Neuroscience Course.pdf,1R78ifoTcIIJahKO0_pPLsDTiHBPOs-sO,https://drive.google.com/file/d/1R78ifoTcIIJahKO0_pPLsDTiHBPOs-sO/view,Burdo,2012,Wikipedia Neuroscience Stub Editing in an Introductory Undergraduate Neuroscience Course,burdo,2012,wikipedia neuroscience stub editing in an introductory undergraduate neuroscience course
Burnette et al. - 2016 - Dilution and Pipetting Lesson Using Food Dyes.pdf,16KZ5a6wpy0uIV9ciqziPgL8uZ3zrwMTZ,https://drive.google.com/file/d/16KZ5a6wpy0uIV9ciqziPgL8uZ3zrwMTZ/view,Burnette et al.,2016,Dilution and Pipetting Lesson Using Food Dyes,burnette et al.,2016,dilution and pipetting lesson using food dyes
Burton - 2014 - Using Owl Pellet Analysis to Explore Space Use and Productivity.pdf,1Ankx9iLLIxEGzO4bnj4H2MaaKGlS9aVb,https://drive.google.com/file/d/1Ankx9iLLIxEGzO4bnj4H2MaaKGlS9aVb/view,Burton,2014,Using Owl Pellet Analysis to Explore Space Use and Productivity,burton,2014,using owl pellet analysis to explore space use and productivity
Butler - 2020 - Green Design How do leaf structures optimize phot.pdf,1auuAprQOnfoN6BgLKIik7mFmkS8bjjpR,https://drive.google.com/file/d/1auuAprQOnfoN6BgLKIik7mFmkS8bjjpR/view,Butler,2020,Green Design How do leaf structures optimize phot,butler,2020,green design how do leaf structures optimize phot
Butler - 2021 - A Quick and Simple Natural Selection Role Play.pdf,1weIRI3i8u8tGTJLWXhgsgu0p9zsexMMJ,https://drive.google.com/file/d/1weIRI3i8u8tGTJLWXhgsgu0p9zsexMMJ/view,Butler,2021,A Quick and Simple Natural Selection Role Play,butler,2021,a quick and simple natural selection role play
Byrne - 2011 - An in-class role-playing activity to explore biodiversity and create ecological web diagrams.pdf,1SyDdC_V6-nkINuYxunAf8tbO8oXvi9Kq,https://drive.google.com/file/d/1SyDdC_V6-nkINuYxunAf8tbO8oXvi9Kq/view,Byrne,2011,An in-class role-playing activity to explore biodiversity and create ecological web diagrams,byrne,2011,an in-class role-playing activity to explore biodiversity and create ecological web diagrams
Cafferty - 2021 - I really enjoy these annotations Examining prim.pdf,1BDKcFf3f1FXbAyjLqgJ2-e24Bbjg3g5h,https://drive.google.com/file/d/1BDKcFf3f1FXbAyjLqgJ2-e24Bbjg3g5h/view,Cafferty,2021,I really enjoy these annotations Examining prim,cafferty,2021,i really enjoy these annotations examining prim
Cala et al. - 2018 - Using a Sequential Interpretation of Data in Envel.pdf,13xTV1tI7RZ-ys_0m4ik5assS0Zfy2A-5,https://drive.google.com/file/d/13xTV1tI7RZ-ys_0m4ik5assS0Zfy2A-5/view,Cala et al.,2018,Using a Sequential Interpretation of Data in Envel,cala et al.,2018,using a sequential interpretation of data in envel
Calinger - 2014 - Investigating the footprint of climate change on p.pdf,1DDfoRs5lQ8yV6cxwd-H-M5wnQo1GgRCv,https://drive.google.com/file/d/1DDfoRs5lQ8yV6cxwd-H-M5wnQo1GgRCv/view,Calinger,2014,Investigating the footprint of climate change on p,calinger,2014,investigating the footprint of climate change on p
