Topic,CovNum,DocNum
Neuroscience,6785,236
Neuroscience,8383,238
Neuroscience,9012,241
Neuroscience,9787,249
Neuroscience,9819,251
Neuroscience,1592,268
Neuroscience,9832,273
Neuroscience,869,277
Neuroscience,9846,299
Neuroscience,9877,328
Neuroscience,9828,340
Neuroscience,9881,348
Neuroscience,9829,351
Neuroscience,1590,363
Neuroscience,9786,372
Neuroscience,9888,377
Neuroscience,677,379
Neuroscience,7955,381
Neuroscience,9008,388
Neuroscience,9842,394
Neuroscience,4855,409
Neuroscience,9892,414
Neuroscience,9615,447
Neuroscience,9890,467
Neuroscience,870,471
Neuroscience,9804,473
Neuroscience,9894,481
Neuroscience,712,484
Neuroscience,9865,497
Neuroscience,9083,498
Neuroscience,9812,499
Neuroscience,9789,525
Neuroscience,9805,532
Neuroscience,4384,541
Neuroscience,9858,582
Neuroscience,9799,607
Neuroscience,7638,608
Neuroscience,9879,609
Neuroscience,4289,631
Neuroscience,8980,638
Other,9082,7
Other,9068,12
Other,7201,31
Other,156,35
Other,8849,51
Other,1986,55
Other,2706,72
Other,9006,89
Other,8880,97
Other,3867,99
Other,8832,101
Other,8557,108
Other,8927,120
Other,9007,141
Other,2525,142
Other,1794,163
Other,8871,177
Other,8975,184
Other,8958,200
Other,1565,223
Other,8961,225
Other,1144,240
Other,971,256
Other,9033,272
Other,8929,305
Other,9166,319
Other,707,327
Other,1272,339
Other,790,347
Other,155,353
Other,8990,361
Other,7751,393
Other,9011,403
Other,8897,417
Other,8947,450
Other,10654,509
Other,313,518
Other,273,520
Other,6908,524
Other,5565,566
Other,303,568
Other,4788,586
Other,8937,613
Microbiology,2610,29
Microbiology,6411,41
Microbiology,9249,61
Microbiology,87,80
Microbiology,2171,106
Microbiology,5015,134
Microbiology,8924,136
Microbiology,9271,165
Microbiology,8858,174
Microbiology,8885,178
Microbiology,9233,194
Microbiology,8955,201
Microbiology,9194,210
Microbiology,9049,214
Microbiology,1693,230
Microbiology,9235,265
Microbiology,436,276
Microbiology,8922,298
Microbiology,9285,301
Microbiology,4473,306
Microbiology,6601,330
Microbiology,840,358
Microbiology,494,370
Microbiology,15,373
Microbiology,157,397
Microbiology,9019,399
Microbiology,8868,436
Microbiology,7909,468
Microbiology,7079,470
Microbiology,1353,482
Microbiology,9089,512
Microbiology,8831,526
Microbiology,939,562
Microbiology,849,580
Microbiology,2489,583
Microbiology,4373,620
Microbiology,9241,624
Microbiology,8865,640
Microbiology,469,642
Disease Ecology,9499,13
Disease Ecology,8915,21
Disease Ecology,496,38
Disease Ecology,10661,87
Disease Ecology,633,94
Disease Ecology,8910,114
Disease Ecology,8925,127
Disease Ecology,9073,132
Disease Ecology,9621,139
Disease Ecology,966,154
Disease Ecology,714,169
Disease Ecology,4703,217
Disease Ecology,8878,222
Disease Ecology,4333,232
Disease Ecology,7946,234
Disease Ecology,1118,258
Disease Ecology,8826,271
Disease Ecology,1566,278
Disease Ecology,506,291
Disease Ecology,81,321
Disease Ecology,8852,369
Disease Ecology,9487,439
Disease Ecology,1433,444
Disease Ecology,8973,476
Disease Ecology,2124,477
Disease Ecology,1634,483
Disease Ecology,8875,496
Disease Ecology,8844,502
Disease Ecology,9867,578
Disease Ecology,1072,612
Disease Ecology,1328,623
Disease Ecology,9031,649
Cell Structure & Function,8993,58
Cell Structure & Function,798,60
Cell Structure & Function,3833,77
Cell Structure & Function,9004,78
Cell Structure & Function,8967,90
Cell Structure & Function,8905,105
Cell Structure & Function,4051,144
Cell Structure & Function,8895,145
Cell Structure & Function,2585,164
Cell Structure & Function,2916,190
Cell Structure & Function,495,206
Cell Structure & Function,9613,221
Cell Structure & Function,9,243
Cell Structure & Function,8873,261
Cell Structure & Function,8872,284
Cell Structure & Function,8853,285
Cell Structure & Function,8841,387
Cell Structure & Function,2394,368
Cell Structure & Function,9051,374
Cell Structure & Function,8890,375
Cell Structure & Function,8893,376
Cell Structure & Function,8420,404
Cell Structure & Function,8964,405
Cell Structure & Function,9080,421
Cell Structure & Function,8992,431
Cell Structure & Function,9027,455
Cell Structure & Function,2093,479
Cell Structure & Function,9056,540
Cell Structure & Function,9593,579
Cell Structure & Function,8976,619
Cell Structure & Function,8999,621
Cell Structure & Function,8972,629
Genetics,8954,2
Genetics,9042,16
Genetics,8899,32
Genetics,9090,47
Genetics,8860,79
Genetics,6375,81
Genetics,1386,91
Genetics,9047,107
Genetics,9076,116
Genetics,9055,189
Genetics,9601,208
Genetics,894,209
Genetics,8830,219
Genetics,8846,252
Genetics,9872,263
Genetics,9595,282
Genetics,8894,293
Genetics,8923,304
Genetics,9284,349
Genetics,9069,359
Genetics,8986,412
Genetics,697,448
Genetics,3628,475
Genetics,8963,490
Genetics,10674,533
Genetics,3087,536
Genetics,10673,543
Genetics,8861,555
Genetics,9078,593
Genetics,8985,610
Genetics,562,625
Evolution,5664,11
Evolution,10703,20
Evolution,8889,46
Evolution,369,86
Evolution,1067,93
Evolution,8542,146
Evolution,10704,192
Evolution,8931,197
Evolution,8833,237
Evolution,3504,239
Evolution,173,286
Evolution,9060,294
Evolution,10705,303
Evolution,903,329
Evolution,1060,380
Evolution,9169,400
Evolution,9029,401
Evolution,8988,445
Evolution,2707,487
Evolution,6088,577
Evolution,7896,597
Evolution,8838,595
Evolution,5037,596
Evolution,135,622
Evolution,2826,626
Anatomy & Physiology,9036,37
Anatomy & Physiology,8996,42
Anatomy & Physiology,8928,52
Anatomy & Physiology,9046,59
Anatomy & Physiology,2263,67
Anatomy & Physiology,7871,119
Anatomy & Physiology,8881,124
Anatomy & Physiology,8888,129
Anatomy & Physiology,7203,172
Anatomy & Physiology,2836,182
Anatomy & Physiology,2231,202
Anatomy & Physiology,8911,203
Anatomy & Physiology,8921,355
Anatomy & Physiology,9597,422
Anatomy & Physiology,1624,449
Anatomy & Physiology,7453,469
Anatomy & Physiology,4063,493
Anatomy & Physiology,9043,508
Anatomy & Physiology,9034,521
Anatomy & Physiology,2099,576
Anatomy & Physiology,3014,591
Anatomy & Physiology,8913,592
Anatomy & Physiology,9086,598
Anatomy & Physiology,9581,599
Bioinformatics,1211,36
Bioinformatics,9085,74
Bioinformatics,8877,133
Bioinformatics,8953,147
Bioinformatics,8876,220
Bioinformatics,5678,250
Bioinformatics,1211,259
Bioinformatics,9085,260
Bioinformatics,463,342
Bioinformatics,9603,345
Bioinformatics,831,366
Bioinformatics,9024,408
Bioinformatics,975,411
Bioinformatics,1781,429
Bioinformatics,8864,441
Bioinformatics,1185,472
Bioinformatics,9021,478
Bioinformatics,398,485
Bioinformatics,8879,507
Bioinformatics,9608,556
Bioinformatics,9050,561
Bioinformatics,9256,567
Bioinformatics,1295,616
Phylogenetics,9304,4
Phylogenetics,8997,27
Phylogenetics,9310,68
Phylogenetics,9536,69
Phylogenetics,1064,100
Phylogenetics,9571,123
Phylogenetics,9028,195
Phylogenetics,7437,196
Phylogenetics,9311,229
Phylogenetics,9306,309
Phylogenetics,4056,519
Phylogenetics,9309,530
Phylogenetics,9306,553
Phylogenetics,8866,559
Phylogenetics,344,604
Phylogenetics,6111,614
Phylogenetics,10676,648
PCR Techniques,9059,33
PCR Techniques,2060,64
PCR Techniques,293,96
PCR Techniques,4027,152
PCR Techniques,3690,170
PCR Techniques,9020,171
PCR Techniques,8854,176
PCR Techniques,9067,191
PCR Techniques,2692,211
PCR Techniques,8995,354
PCR Techniques,2672,387
PCR Techniques,4458,504
PCR Techniques,9290,571
PCR Techniques,9066,590
PCR Techniques,9070,637
Gene Editing,8959,65
Gene Editing,1184,199
Gene Editing,10584,266
Gene Editing,133,270
Gene Editing,970,292
Gene Editing,9606,308
Gene Editing,1637,362
Gene Editing,9032,396
Gene Editing,1046,529
Gene Editing,2786,516
Gene Editing,8917,632
