"","year","Topic","n"
"209",2014,"PCR Techniques",0
"210",2014,"Gene Editing",0
"211",2015,"Ecosystem Ecology",3
"212",2015,"Phylogenetics",0
"213",2015,"Microbiology",3
"214",2015,"Cell Structure & Function",1
"215",2015,"Evolution",1
"216",2015,"Genetics",4
"217",2015,"Noise",7
"218",2015,"Neuroscience",4
"219",2015,"Anatomy & Physiology",1
"220",2015,"Bioinformatics",1
"221",2015,"Disease Ecology",1
"222",2015,"Other",1
"223",2015,"PCR Techniques",4
"224",2015,"Gene Editing",0
"225",2016,"Ecosystem Ecology",14
"226",2016,"Phylogenetics",0
"227",2016,"Microbiology",3
"228",2016,"Cell Structure & Function",2
"229",2016,"Evolution",6
"230",2016,"Genetics",4
"231",2016,"Noise",4
"232",2016,"Neuroscience",2
"233",2016,"Anatomy & Physiology",1
"234",2016,"Bioinformatics",0
"235",2016,"Disease Ecology",1
"236",2016,"Other",2
"237",2016,"PCR Techniques",2
"238",2016,"Gene Editing",0
"239",2017,"Ecosystem Ecology",14
"240",2017,"Phylogenetics",1
"241",2017,"Microbiology",3
"242",2017,"Cell Structure & Function",3
"243",2017,"Evolution",1
"244",2017,"Genetics",0
"245",2017,"Noise",9
"246",2017,"Neuroscience",6
"247",2017,"Anatomy & Physiology",1
"248",2017,"Bioinformatics",1
"249",2017,"Disease Ecology",2
"250",2017,"Other",3
"251",2017,"PCR Techniques",1
"252",2017,"Gene Editing",1
"253",2018,"Ecosystem Ecology",15
"254",2018,"Phylogenetics",2
"255",2018,"Microbiology",3
"256",2018,"Cell Structure & Function",0
"257",2018,"Evolution",0
"258",2018,"Genetics",0
"259",2018,"Noise",6
"260",2018,"Neuroscience",8
"261",2018,"Anatomy & Physiology",1
"262",2018,"Bioinformatics",1
"263",2018,"Disease Ecology",2
"264",2018,"Other",5
"265",2018,"PCR Techniques",1
"266",2018,"Gene Editing",1
"267",2019,"Ecosystem Ecology",11
"268",2019,"Phylogenetics",1
"269",2019,"Microbiology",4
"270",2019,"Cell Structure & Function",5
"271",2019,"Evolution",2
"272",2019,"Genetics",3
"273",2019,"Noise",7
"274",2019,"Neuroscience",5
"275",2019,"Anatomy & Physiology",2
"276",2019,"Bioinformatics",6
"277",2019,"Disease Ecology",2
"278",2019,"Other",6
"279",2019,"PCR Techniques",1
"280",2019,"Gene Editing",3
"281",2020,"Ecosystem Ecology",23
"282",2020,"Phylogenetics",0
"283",2020,"Microbiology",7
"284",2020,"Cell Structure & Function",6
"285",2020,"Evolution",2
"286",2020,"Genetics",4
"287",2020,"Noise",13
"288",2020,"Neuroscience",7
"289",2020,"Anatomy & Physiology",5
"290",2020,"Bioinformatics",2
"291",2020,"Disease Ecology",7
"292",2020,"Other",5
"293",2020,"PCR Techniques",1
"294",2020,"Gene Editing",5
"295",2021,"Ecosystem Ecology",21
"296",2021,"Phylogenetics",2
"297",2021,"Microbiology",6
"298",2021,"Cell Structure & Function",4
"299",2021,"Evolution",3
"300",2021,"Genetics",2
"301",2021,"Noise",12
"302",2021,"Neuroscience",8
"303",2021,"Anatomy & Physiology",5
"304",2021,"Bioinformatics",8
"305",2021,"Disease Ecology",7
"306",2021,"Other",8
"307",2021,"PCR Techniques",0
"308",2021,"Gene Editing",1
"309",2022,"Ecosystem Ecology",15
"310",2022,"Phylogenetics",0
"311",2022,"Microbiology",6
"312",2022,"Cell Structure & Function",4
"313",2022,"Evolution",4
"314",2022,"Genetics",5
"315",2022,"Noise",13
"316",2022,"Neuroscience",1
"317",2022,"Anatomy & Physiology",1
"318",2022,"Bioinformatics",0
"319",2022,"Disease Ecology",6
"320",2022,"Other",6
"321",2022,"PCR Techniques",2
"322",2022,"Gene Editing",0
